8,can you watch home and away in the northern territory and what channel?,can you watch home and away in northern territory,I assume so. On network 7
7,i dont want to subscibe to yahoo greeting cards.so i was wondering if i get cards for free without subscibing?,i was trying to send a card to a friend.i was wondering if u have free greeting cards without subscibing to yahoo greeting card site?,try www.myfuncards.com
3,cure of chicken anemia virus?,,"Treatment and Prevention:\\nThere is no specific treatment. Secondary bacterial infections may be treated with antibiotics. Live vaccines are available for vaccination of antibody-negative breeder flocks prior to the start of egg production. Administration is by injection or by addition to the drinking water depending on the type of vaccine available in individual countries. In some areas, transfer of litter to noncontaminated premises and the addition of crude homogenates of tissues from affected chickens to the drinking water have been used to ensure infection and seroconversion of parent flocks before they begin to lay, thereby diminishing the risk of egg transmission. However, these procedures are risky and not recommended. Because of the synergism between CAV and other immunosuppressive viruses, control of the latter is also important.\\nAt present, there is no vaccine available to prevent subclinical losses in broilers."
8,what site do you download the little mermaid 2 return to to  the sea?,it has to be legal and I don't have to pay for it.,"Well if you don't pay for it, then it is not legal.\\n\\nIf you want to be legal, I know iTunes has it."
9,should i go back out with him?,im in 6th grade and my ex broke up with me for a 4th grader he broke my heart we went out for a year he was also cheaten on me with her before he broke up with me im more mad then i am sad anyway he said that when he broke up with her hed go back out with me should I,OOH when he broke up with her he would go out with you. please girl you don't need that why wait for a dead beat cheater. What makes him so god damn special. Girl your young beautiful and a woman you are the princess and there should be no man that should treat you any different. loose him and find someone who will treat you like the princess you know you are. go get um
2,"Why is it, on a video camera, the Sun is a Gigantic Black Ball?",,"The CCD in your camera produces electrons in proportion to the amount of light falling on it. But the Sun is so intense it overloads the chip and those pixels just stop working. It's the electronic equivalent of flash blindness, though it recovers quickly."
1,"At what point do we forgive, as individuals, as a nation, as a world family?","America apologized for slavery, Germany apologized for the Holocaust. Countries have been brought to task over their wrong doings through out history. \\n\\nSo at what point should we expect victims of such crimes to forgive? \\n\\nShould it be never or should it be when that generation has past? \\n\\nOf course one should never forget! We should learn from those times so we do not repeat those horrors. However, when is it time to forgive those responsible, to forgive those nations, to forgive the world?\\n\\nAt what point must victims move on so progress can be made?","I don't believe forgiveness is necessarily REQUIRED or that it is even possible for all people to accomplish.  But it often can be beneficial in helping 'victims' cope and carry on with their lives.  While I say that, I myself have never (yet) been able to forgive my father for abusing my sister and I'm not sure I ever will.  But I have learned to accept it I suppose.  \\n\\nI don't know.  Tough question.  Very hard to forgive some transgressions, that's for darn sure."
10,"Active Army, Army Reserve, or Army National Guard???","Right now I am in the Army Reserve but I have the option to switch branches. What do you think I should do? If I go Active I can go all over the place, Reserve or Guard I get to stay home and go for one weekend a month and two weeks a year. Comments or advice???","If you're going to stay in the military, you may as well go Active Army as you can be deployed just the same.  I guess it just depends on if you enjoy the army lifestyle or not."
10,Is George Bush the fittest President ever?,Bush exercises like mad.  He looks like he's in good shape for his age.  I heard that Teddy Roosevelt was also in very good shape.,"Roosevelt was a lot younger, not even 50 when he left office.  Dubya seems in pretty good shape."
5,Adobe Photoshop CS2?,"does anyone know where i can get christmas brushes for photoshop? if so leave a link, please and thank you =]",http://www.photoshopsupport.com/tools/brushes.html\\n\\nHope you find something you like there
5,"ifi have yahoo messenger is it free ,even with the toolbars?",is yahoo messenger free?,Exactly
7,Explain the law of adverse possession?,,"The laws vary by state, but, generally, if you openly claim a piece of property as your own, by fencing it, or maintaining it, for a period of time, and nobody challenges you for it, it's yours. In Texas, I believe the time period is 25 yrs. One note, you can't claim adverse possesion against a municipality or govt. agency, or a right of way, over any period of time."
2,Please Help Me to Solve This True and False Questions!?,"Please explain to me whether the statement below are true or false:\\n1. If F(x) is an antiderivative of f(x), then y = F(x) is a solution to the\\ndifferential equation dy/dx = f(x).\\n2. If y =F(x) is a solution to the differential equation dy/dx = f(x),\\nthen F(x) is an antiderivative of f(x)\\n3. If an object has constant nonzero acceleration, then the position\\nof the object as a function of time is a quadratic polynomial.\\n\\nI need the explanation too not only just the true or false answers.\\n\\nThanks for all the help!","1. This is true by Fundamental Theorem of Calculus.\\n\\nLet f be a continuous real function defined on a closed interval [a,b]. F(x) is an antiderivative of f(x) means that F(x) = Integrate f(t) dt from a to x. Suppose there is x and x+h inside [a,b], we have F(x) = Integrate f(t) dt from a to x AND F(x+h) = Integrate f(t) dt from a to x+h. The definition for dy/dx is such a limit on \\n[F(x+h)-F(x)]/h in which h tends to zero. F(x+h)-F(x)= ""Integrate f(t) dt from a to x+h"" MINUS ""Integrate f(t) dt from a to x"" which is EQUAL TO ""Integrate f(t) dt from x to x+h"" According to mean value theorem, since f is continuos so is F, there exist a value c between [x,x+h] such that ""Integrate f(t) dt from x to x+h"" EQUALS ""f(c) h"". Then [F(x+h)-F(x)]/h = f(c) h/h = f(c). When u tends h to zero, since c is squeezed between [x,x+h], c tends to x (sandwich theorem). Hence dy/dx = f(x).\\nTherefore, from y=F(x) is an antiderivative of f(x), you arrive at a conclusion dy/dx=f(x) which is equivalent to your question 1.\\n\\n2. This is also true by Fundamental Theorem of Calculus.(In fact this is a corollary(small truth following from the truth of a theorem, informally means small theorem)\\n\\nIf f(x) = F' (x) (ie dF(x)/dx). Therefore we know that limit h->0 for {[F(x+h)-F(x)]/h} is f(x). By mean value theorem, F'(c) = [F(x+h)-F(x)]/h for c in between [x,x+h]. {We assumed continuos function again, if not it doesnt work. In fact all your question means continuos function which is differential at all points within the function interval that we are interested in.} From f(x)= F'(x) we get f(c)=F'(c). Then you have F(x+h) = f(c)Xh + F(x). Since F(x+h) = f(c) h + F(x) for h tends to zero. Lets say we know that a certain initial value F(a). We want to find F(t) in the interval [a,x], then we can first start with F(a+h)=f(c) h + F(x) where c is between [a,a+h] and continue up till x. If we want to find F(x), it is just summation f(t) delta t, and if we limit delta x to zero, we get F(x) = Integrate f(t) dt from a to x  PLUS F(a), which is the antiderivative of f(x).\\n\\n3. x'' = k for k constant. Then x' = kt + C. x= k/2 * t^2 + Ct + D. Just do direct integration using statement 2."
4,On Monday November 13 are schools open? Are driving Schools open?,,"Everything should be open on Nov 13.  For offices or schools closing for Veteran's Day, it will be on Friday, Nov 10.\\n\\nWhen a national holiday falls on Saturday, the associated closings are on the Friday before.  If the holiday falls on Sunday, the closings are on the Monday following."
6,Is Ronnie Brewer good or bad for the rockets?,his 3-point shooting is not good for the rockets but his defense is really great,"Brewer will be a valuable addition wherever he ends up because he has a high court I.Q.  and is more mature and well adjusted than many of the other lottery picks mentioned.  This young man is an exception ...he has excellent athleticism and he is one of the most selfless players I have seen on the court...combining solid shooting, amazing court vision for finding his open teammates, and relentless defensive drive...qualities not always found at the NBA level.  Rumor has it, a lot of the other guards projected to go in the top 8 have been avoiding Ronnie in the individual team workouts: likely good advice from agents who do not want to take the chance of seeing their stock fall from a bad showing against this kid who has consistently shown his ability (and capabilites) against anyone who will show up since the pre-draft camp.  Those who think Brewer's shooting will hold him back in the draft are forgetting some important intangibles....this kid has what every coach and GM want in a newly drafted player; natural athleticism combined with high coachability, and a great attitude.  Whatever he is lacking in technique to become a great NBA contributor, can be developed by a good coach."
3,Has anytone ever donated the'r eggs before? Does it hurt? How long does it take?,I'm seriously considering donating my eggs. I would really appreciate feedback from anyone with experience with this matter or maybe know the process. I really appreciate your time to this matter!,My neighbor sometimes sends her kids over for a few. It's really no big deal!
8,"""Lost"" is crapper than ever... discuss?",,i agree but i never liked it in the first place to be honest!
3,What is the best supplement ?,what is the best weight gain supplement to take in succession with working out ?,"Research has proven that suppliments probably do little if any good. If you want instant weight gain, use Creatine...will add about 5 pounds of water to the average person, wets the muscles and helps them heal. Other than that, IF you get a good diet, suppliments are pretty much a waste of your money. Regardless of all the hype you see, old fashioned hard work and a good balanced diet is the only way it is going to happen. You do NOT want to put on fat, so stick with a good diet of meat, carbs, oils, in all, a balanced diet. There will be plenty who tell you >>>protein shakes, protein bars, etc...waste of money, period. But if it makes you feel like you are doing something, then do what ever you want. Good luck"
7,how can I start a messenger service?,,"If you are referring to a courier service, here are some articles/resources that can give you information on how to start a courier service:\\n\\nCourier Magazine http://www.couriermagazine.com/\\nEntrepreneur.com How to Start a Courier Business http://www.entrepreneur.com/article/0,4621,266105,00.html\\nStarting Your Own Courier Service http://www.buzzle.com/editorials/2-9-2006-88476.asp"
10,under this system the government owns nearly all the means of production and direct all important economic?,,"To be more specific and accurate, this should be called ""state socialism,"" so as to differentiate it from other forms of socialism that do not require or call for government ownership and control of the means of production.  Simply calling it ""socialism"" is too vague.\\n\\nThere are a range of examples in the history of the last century of state socialism, but the most prominent would be the Soviet Union, as well as its satellites and allies in Eastern Europe.  China is currently the most obvious example of this system, though it is evolving toward a mixed system of state control and free markets.\\n\\nThe links below will help sort this out.  Be warned that the first wikipedia link is not well written, and offers no sources.  The second is much better, but offers a much broader definition.  The PBS link is especially valuable for its timeline.  The fourth link, to the Concise Encyclopedia of Economics, is well written, but highly negative, and a number of people would disagree with Heibroner's definitions, but it is still valuable."
8,how many times has keith urban been in rehab?,,3 times
5,What happened to to the atspace.com websites from zettahost.com??? It seems like a little more than outage.?,"All their sites and parent website provider site is down, but no announcement email. How can someone find out if they have an outage, or if they went out of business?",Hmmmm.... I detect some minor flirting going on here :)
9,what do you do to appeal yourself? like you know?,,
10,if i have 10 warrants for my arrest?????[only traffic tickets] if i turn myself in so i can sit out my tickets,how many days will i have to sit in jail???????,"The first thing I would do is talk to a bail bondsman.  Sometimes they can help you work it out to where you may not have to be booked!!  \\n\\nSecond I would get an attorney or public defender that will help you get community service, probation, or some other type of alternative sentencing for your fines."
6,Has Premiership ever been a draw?,Has either the Premiership or the First Division (it's previous incarnation) been a draw at the end of the season and had to be settled by goal difference? And what would happen if it was a draw and the GD was the same between the two top teams?,"the most famous one happened during the 1988-1989 English First Division season. both Arsenal & Liverpool level on points at the end of the season with 76 points but Arsenal win the league due to higher goals scored. both teams has the same goal differences of 37 goals.\\n\\nironically, the league championship was decided on the last day of the season when Arsenal beat Liverpool at Anfield. Michael Thomas scored the second goal to secure a 2-0 win to seal the championship."
4,James Frey's A Million Little Pieces - Irony?,"Can anyone who has read A Million Little Pieces by James Frey find any irony in it? I can't, and I need to find some irony in it for school. I draw a blank, because there isn't really any irony.","I am in the middle of reading the book but I really find nothing extraordinary about it, in fact I find it silly that he repeats repeats repeats words. I dont see the point to that."
6,Why did Six Flags raise their prices again?,"Prices for Six Flags have gone up again, at least at Great America. $54.99??? That's ridiculous! I'm assuming they're raising it because the want people to buy the Season Pass, which is $94.99. This is why I go to Cedar Point every summer- THEY actually lowered their prices to $34.99 and they have better roller-coasters! Shame on you Great America.","As the price of supplies continue to rise,,, more and more organizations will find themselves having to raise prices to cover the cost of operations. The gasoline prices are not helping any because the cost of delivery is sky rocketing. It is also a matter of simple supply and demand. They are a profit seeking business."
6,Anyone remember a football match featuring the1966 England World Cup Squad @ Roker Park during early 70's?,,http://sport.aol.co.uk/manchester-united/fc-copenhagen-1-0-manchester-united/article/20061101163809990009
8,What's the freakiest thing you've done or someone asked you to do in bed?,My friend just told me a girl asked him to pee in her while he was in!  I thought that was freaky!!,An ex boyfriend asked me to stick a dildo up his ass while I gave him a hummer ... ( head job ) ... AND NO I DIDN'T
6,Par hazar quelqun vendrai t il  une moto (une cross)?,,Ben non...
4,I have my anatomy and physiology exam in a week. Each time I start revising my mind goes blank. Any tips?,,Have a good sleep first of all..Next make a chart of the things to be done.. then concentrate on any one subject at a time...\\n\\n       Do not let your mind go around like a piece of paper..   You'll do great in the exam.. Believe me..
7,uninsured homeowners?,"what happens when someone gets injured at a rental, and they carry no insurance, but have other homes and businesses that are insured",If you have no rental insurance then you just take the lose.
7,Does a corporation or DBA still need to trademark their name?,I know they have to trademark their logos but what about just the name?,"The choice to trademark is not related to a company name or DBA (Doing Business As). Trademarking is done to protect your interests and rights in a name or phrase.  If your primary brand in the market is your company name (or DBA), trademarking is a good idea.  If your main brand in the market is a product, I recommend trademarking that.\\n\\nYou can go on the US PTO web site and submit trademarks yourself.  There is alot of information on the USPTO website on the rules and guidelines.  It takes about 1 year or so for an application for go through (or be denied).  Once you have applied for trademark (or service mark), make sure you label all of your sales, marketing and corporate materials with SM or TM.\\n\\nRelated to your question might also be whether you own the Internet URL for the company or DBA.  You can have a trademark on something, but not have rights to the URL."
2,Why should the alkoxide ion be the one expelled instead of hydroxide?,This is regarding the base catalyzed hydrolysis of esters.Isn't it alkoxide is a stronger base than hydroxide thus alkoxide is a poorer leaving group than hydroxide?,the best leaving groups are the most stable(least reactive) ions.
3,I'm 16 and my chest all of a sudden got super hairy. Should I shave it?,"I started getting chest hair ealier this year when I was 15, with a little around my nipples and bellybutton.  Now my chest and stomache are really thick with hair like shag carpet, and my arms and legs are too.\\nI get a lot of remarks like Bigfoot or Saquatch in the locker room, so I am wondering if I should shave my chest.  Also does this mean I will go bald? My uncle is super hairy and says he started going bald in high school.  I don't want to be bald and really hairy, so what can I do?","I have a friend whom I've known all my life, who got really hairy around your age. He also went bald by 20.  People made fun of him in high school as well.\\n\\nLike him, you just happen to have a lot of testosterone.  It makes you hairy all over except where you want it.\\n\\nHe works out and has a good body, but he goes shirtless in the summer and nobody comments on his abundance of hair.  He shaves the fringe of his hair, so he is completely bald now.  He recently remarried, and his new wife loves his body.  \\n\\nI can see how you could be confused by your abundance of body hair, considering that you never see lead actors with chest hair anymore. I don't know why they all shave their chests.  Of course, if you shaved everything off now, the conspicuous absence of your hair will raise even more questions.  If you want a reason to shave your body hair, join the swim team and you will probably be required to shave your chest, legs, arms, etc.  However, if you do this, you may probably have to shave your head as well. If you think you are going to go bald and want to hang on to your hair for as long as possible, this may be a problem for you.\\n\\nJust accept the fact that you are probably more well advanced in your manhood than the rest of the other guys.  Hey, look on the bright side: having all that testosterone means you have really strong ""swimmers"" as well, if you know what I mean!"
2,can any one tell me why blood didnt clot in heart?,why the blood didnt clot in the heart. consider if i am got hurt in the hand then that time the blood will flows since the atomosphere air is to make that to clot..... BUT WHY THE BLOOD IN THE HEART IS NOT AT ALL CLOTED ALTHOUGH THE AIR THAT WE BREATH IS THE SAME ATMOSPHERE,"A very interesting question, really.\\n\\nFirstly, we need to look at what causes the blood clot.  The answer lies in the platelet.  An irregularly shaped, colorless body that is present in the blood.  It survives for 7-10 days before being broken down in the liver/spleen by phagocytes.  \\n\\nIndeed, blood clots when it is exposed to air.  The body has amazingly found a loophole in blood being exposed to air (for the 2 conditions)  This loophole lies in the loss of blood.  If the body detects a loss of blood and the presence of air at the same time, the platelets immediately kick into action.  The tiny platelets immediately rush to the wound, form a layer (scab) by bursting and spilling its contents.  Its contents, along with calcium, the vitamin K and a protein, fibrinogen, forms a clot.  \\n\\nAll these components forms a clot by first forming fibrin.  These fibrin are actually tiny threads which later form a wire-like mesh.  This mesh help to hold the red blood cells inside the body.  This explains why our scab is red initially but turn brown; such is the color of our blood."
6,should i continue to drive with a screw embedded in my car tire?,i found a 5mm diameter bolt or screw sticking out of my tire (goodyear all terrain on a 4wd). Should I  pull it out? what is the risk or a tire blow out?,"If you can find a Discount Tire Store near you, I'd advise going there. They pull out and repair tires with nails and whatnot in them for free, no need to do the dirty work yourself.\\n\\nThey also clean the tire :P"
10,Should the death penalty be abolished globally?,,NO!!!
6,How can I sweat more when I work out?,Apparently sometimes your face gets really red when you work out because you don't sweat enough and it's humid.  Both are the case for me.  It has something to do with blood vessels expanding and pushing toward the skin.  Should I drink more water or what?,"When you sweat, it means your body is working hard, causing your face to turn red. Its so embarrassing isn't it! I had the same problem, until I drank Gatorade. I don't know why, but it helps."
4,do kids helium balloons pop at high altitude or keep going up?,at an event yesterday I saw quite a few balloons let go and they went up until they were too small to see.  What happens to them?  Do they leak and fall to earth or keep going?,"They pop because the pressure is much higher up in the atmosphere, causing the balloon weight to collapse upon itself. They won't make it into space."
10,"What is the economic, social, educational, and political status of white women?",,"It reaches both ends of the spectrum.  There are uneducated, poor, unemployed, non-political white women...There are wealthy, employed, highly educated white women who vote democratic and republican...there are highly educated white women who are poor and don't vote...you can get endless combos....need to be more specific."
3,"Thin competitive eaters, how ironic?",How is it possible for competitive eaters to consume up to 15 lbs of food at one sitting and remain thin?  i am an overweight person and have never in my life consumed lbs of food at one sitting.....strange???,"Physically, the stomach can expand and take up all the space around the surrounding organs to actually fit the food inside--but that doesn't explain the weight. I remember hearing (sorry about the lack of source) that once you get to an outrageously large amount of food your body just wont take up the energy anymore... it would have to be an extreme amount, like in a hotdog eating contest.\\nAlso, unless they train all year round, constantly, I assume their body naturally regulates by eating a smaller amount throughout the rest of the year."
7,Need a name for a company?,"It is a private young company that deals with property, electronics and cars. The members are young, ambitious, humble and honest. we looking a  word that describes all this.The Virgin brand came about coz all members where virgins. any suggestions","Auto-electric estate or AEE for short.  Your logo could be a house with a car with lightening bolts projecting from them.\\n\\nI have always liked the name ""Praxis"".  It was the primary energy producing moon for the Klingons in Star Trek that was destroyed due to over production of natural resources."
8,What sunglasses is Michael Doughlas wearing in the movie The Sentinel?,,"if i'm not mistaken, those are ray-bans. only ray-ban has their logo printed on the upper right (on wearer's view) corner of the lenses."
2,Does the universe ever have a stop?,no because it's as big as you could ever imagine!,"Umm...why did you ask a question and then answer it yourself?\\n\\n\\nAnyway, nobody really knows.  We don't even know for sure how the universe started, so there's no way of knowing how big it is, or if it is, indeed, still expanding."
7,What is the best way to cure hiccups?,,Swallow some air until you burp. \\nBurp. \\nRepeat until hiccups are gone.
2,How do i Investigate the elctromagnetic spectrum?,"I have taken a probably unhealthy interest in physics, especially in the field of the elctromagnetic spectrum. Problem is, I do not yet know how these waves are created, for example in microwave ovens. A friend told me that some are created by oscillating a current through, say, a copper coil at a particular frequency. Is this true? and if so, what types/bands of the elctromagnetic spectrum does this work for?","Start with a book on electricity and magnetism.  Yes, that is the most common way of generating electromagnetic waves.  It is practical from microwave frequencies nearly all the way down to zero in frequency."
9,Many say that if you love a person u mustn`t know  whu do u love  him(her). otherwise u don`t.?,"I wonder is that wright? Of course u must know that person, but if u like hes(her) look and u love that person manyt don`t call this thing love.",i guess i can relate to that just at the moment no its not love its physical attraction....because it was his(her)looks u like u dont even care to know anything anymore u just actually like him(her)just by the looks.....
3,Question about menstruation?,"I worked in cramped office with three women who, after working together for close to a year, began to get their ""cycles"" at the same time.\\n\\nIs this unusual?  If not, have studies been done of why this happens?  Is there some evolutionary advantage to women have their menses at the same time?  I know it was hell for me!","Actually this is quite common for women who are very close to ""sync"" and have their menstrual cycles at the same time.  Hey, it could be a good thing.  They're all gonna get PMS at once, so just bring in chocolate that time of the month and they'll be happy.  *smile*"
6,Jet Li verses Ernie Reyes Jr?,,I think they would beat the hell out of each other but I am gonna have to go with Jet Li
1,what is historical dilectical materialism of Marx?,,"According to Hegel's thinking--reality constantly moves from thesis to antithesis into a synthesis of whatever is valid of thesis and antithesis.Then the a-t becomes another thesis  and it goes on and on.Historical m of Marx is the application of this dynamic into the process of history driven by economic materialism which also involve the dialectic of history with same pattern.This grand interpretation of history rests on a false major premise that history is driven only by economic forces.There is another imp premise that history is driven by the reality of human persons.This is so with the great men and women who influencce history whether for good or bad.Kings- queens-state persons-scientists-explorers-dicoverers--philanthropists-the giants of religiouns such as Christ AND THEOLOGIANS ETC.This personality orientation of history whih is supraeconomic has been argued by H.G.Wells i books inOutline of History."" Will Durant in ""History"".And most of all Arnold Toynbee ""civilization on Trial"" and twelve volume -study of history."
5,"How "".torrent"" files work?","What is the funda behind "".torrent"" files and how to handle them? Plz mention any software name related to this.",Use Azureus or BitComet or BitTorrent and also you can download torrents from www.isohunt.com www.torrentspy.com
7,How Can You Get Rich Quick And Easy?,,"well, you could create a fake diet pill and sell it, since every other question on this site is something like ""I need to lose 20 pounds by Tuesday!""."
9,what does your dreams mean if you...?,my boyfriend ex girl been around us lately she was around alot with his last girl she goes with my boyfriends step bro now but she still in love for my boyfriend i know it every one can see she use to tell every that her child was for my boyfriend and she know it wasnt she be tell him things like if yall get married im mess up yall wedding and every since she came around us ive been having dreams that he cheating on me with her these dreams just come out the blue i didnt tell him cuz i trust him then we just was talk about the dreams we were having he told me he had a dream i was cheatin but its wierd cuz his ex girl was in his dream so we put it aside it just the devil but then she be callin him talk to him and that piss me off cuz he know how she is but i trust him some much i put it aside and out the blue i had a dream he was messin with her again what are this dreams trying to tell me it eatin me up in side i cant help that i feel this way,"You should talk to him, tell him you trust him but you're worried about what she might do, if he doesn't react, then maybe you should. It happened to me once, i just called the girl and asked her what she was up to and told her to please leave us alone."
1,Gluttony is a sin.  Doesn't that mean fat people are going to hell?,,"for Pete's sake .... how can anyone read this question and some of the subsequent replies and still think the Bible has relevance?  How many kids are bullied at school because of their size, and here you lot are using the Bible to keep that going.\\n  Being overweight can be due to any number of things, many cancer medications, many Anti depressant medications can cause the person taking them to put weight on,  A lot of pregnant women won't be able to move some of the excess weight they put on before the birth.  Thyroid troubles cause huge problems for some people.\\nAnd the reason there are larger people now than in the 60's is  because diet has changed, people don't home cook the way our grandmothers did, food is more highly processed, everyone has cars, no-one takes exercise even walking to work.\\n   I hope all you perfect skinnies who condemned the larger people for no good reason wake up one day and find you all gained 200 pounds."
1,Is it still possible in this modern church era that to be a Roman catholic cardinal without being a bishop???,Can you be a cardinal even if you're not yet a bishop?,"Doctrinially, it is possible for even a lay Catholic to be nominated a Cardinal. However, in most if not all cases, Bishops are nominated Cardinals."
10,gas chambers on oahu 4-1944?,4-8-1944 gas chambers tests on oahu for marines by the navy.,"I'm not sure what you are asking.  However, most military training sites have had (and do have) facilities to train troops to handle gas attacks by the enemy."
6,do you think England will win the world cup????,,"Why not? After all, everybody is mediocre, including them. We'll have to wait and see."
6,status on subcription to sports illustrated?,,It got lost in the mail.
7,"need a good answer for why i left my last job,this is for a job application.?",im filling out a job app. and need a good answer.,Needed some time to evaluate personal needs and professional aspirations.
7,Economic Value Added (EVA) of Indian companies preferably BSE 100?,calculated values,"There is no way to answer this because EVA has some assumptions in it - specifically WACC.  You will need to use an estimate for the Cost of Equity (Ke), the pre-tax cost of debt (Kd) and long run capital structure between debt and equity. Values will vary pretty significantly based on your assumptions.  Ke should be somewhere in the high-teens to low twenties and cost of debt should be bootstrapped off the benchmark government long-bond. Unfortunately, I am not sure which one should be used, but I do know that Kd should be relatively high due to high interest rates in India."
6,Do you wear underwear with bike shorts?,i don't know if i should wear underwear with the spandex shorts or not,"You don't usually wear underwear. In fact, those made of cotton would negate some of the benefits of spandex. If you really want to wear underwear, I've found that the best types of underwear would be the Underarmour brand boxer-briefs. They are made of wick-able material, and they compliment the no chafing of the spandex and chemise of the bike shorts"
5,Whats the easiest way to convert mp3 files in to wav? please help?,,"If you already have WinAmp or MusicMatch Jukebox, these both have built-in conversion functionality.\\n\\nIf not, I'd use Goldwave.  It is shareware, but if you are only doing this for a couple days you should be fine.  It also has a batch mode if you are doing more than one file at a time."
4,What is the cost to attend NYU for general studies as either an in-state or out-of-state student?,,"If you go to their web site, you will see that tuition is just under $16,000 per semester.  That does not include fees or room and board.\\n\\nIt doesn't matter is you are  NY resident or not, since NYU is a private school."
7,Does anyone think it would be strange to name their child Zambura?,,"No it's not strange...That's a beautful name, but before naming your child, find out the meaning of Zambura to see if these are the qualities you want for your child."
7,If someone you hired damaged your house do you tip a coworker who is sent to do the repair?,A tree trimmer cut down a tree that eneded up on my house and broke a window and damaged my awning. He sent another person to do the repairs. I offered him soda and did not tip him. Now I wonder if I did the right thing. I supplied a part for the awning that was given to me by a neighbor so he did not have that expense. It only cost him $15 to replace a window.,Good enuff.
9,is there anyone in WISCONSIN in the range of 14-17?,i just want to chat and talk and make friends and if we really conect then we might take it farthere,No! Wisconsin is a teen free State
10,Shouldn't illegal immigrants be given a chance?Why do people hate them as much as wanting to kill?,If we all deserve a chance to live why can't others deserve a chance to survive. God gave us our life and he can take away why can't we give a little of our luck to them.,THANK U I AGREE WT U EVERYBODY DISERVES ONE CHANCE!! FINALLY I HAVE FOUND SOMEBODY WT A BRAIN.
10,what does lincon say is the main cause of the unrest?,,"In fact, Lincoln's Proclamation didn't really totally free slaves. I'm a bit foggy on it, but I think it said something like, ""If you are southern state and join us, you can keep your slaves (as can deleware and Maryland). If you are not joining us, we will liberate your slaves"". Or something like that and check me on it if you like.\\n\\nIn closing, let me summarize and make a few more points:\\n\\n1. Abolition was a result of the war, but it was not the cause.\\n2. Lincoln freed slaves, but it was not his primary objective.\\n3. The North was not a big ""civil rights"" region. They treated immigrants worse than slaves. Slaves are worth something and cost money. The Irish aren't and cost very little.\\n4. By the way... Income tax. Anyone hate it? Lincoln instituted it and promised after the war it would be stopped. \\n\\nLink is the succession ordinances:"
2,RT-PCR Gene expression?,How is RT-PCR used to determine gene expression? How is gene expression determine with proteins? How is gene expression used to determine transcription? \\n\\nThank you,"RT-PCR converts mRNA to cDNA, amplifies the cDNA to determine the relative expression of a transcribed gene.\\n\\nProteins can be measured by Western Blots or to a lesser extent Immunocytochemistry. However, protein expression does not necessarily mean functional...\\n\\nTranscription can be measured by measuring mRNA like in RT-PCR or Northern Blots."
4,"Could anyone write an 8 sentence paragraph for me starting with the sentence ""Licorice is a disgusting taste""?",please?,no
9,what is love and why do you love a person?,,love is so beautiful...it's been explaination... you love a person because first you like him/her..then you feel hi/her care..and then because they love you you love them too... and also it is a wonderful feeling...i know i sound stupid...i am not doing a very good explaination here... but love is everything...because also this world is created out of love i guess it's an instinct for a human being to love someone else... for God is love
4,what does esta bien. lo compro. aqui esta el dinero. mean?,,esta bien>>>alright\\nlo compro>>>I'll Buy it\\naqui esta el dinero>>>here is the money\\n\\nHope it helps.
9,hate love?please help!!!!?,Im 15 1guy loves me but i dont .he use to call me at home so 1day on call he told he loves me i was shocked i also told that we r just friends but he ignored this.Each and every boy in my life loves me so i have started hating love.,"You shouldnt hate love, its a very important aspect in life for everyone. Just because you dont like someone back it shouldnt make you hate the situation. My best friend is just like you. All the guys she knows have fallen for her and she started to hate love too. Eventually though, a guy came along who she liked back and now shes very happy. You're 15, you have a lot of life left to lead. When the right guy comes along, you'll like him back and be happy. Have patience."
4,SOLVE FOR A:   V=4/3piA^2B?,Its The Volume of an OBLATE SPHEROID,divide everything by 4/3pi\\nthen square root everything by 2B
8,why is honeymoon called honeymoon?,,"It's from a drink that in old times, the bride's family gave the groom to make him fertile. It was sweetened with honey and he drank it for a month, or a moon.\\nWiki has a lot more explanations too."
8,"I am a rock singer that lives in Ottawa, Ontario, Canada....does anyone know a producer I can contact?",I need contact to a music producer.,"Don't limit yourself to Ottawa - try Toronto as well, of course. Not being Canadian, I have no clue who's best, but the Google link below should provide some information:"
3,"I wonder how come children are not being born bowl-legged, like they used to in the 60-70's?","Maybe I am dating myself, but i wonder is there a change in diet or in the preservatives, that has changed our  physical appearances, now in this era.","Are you thinking of the dietary deficency disease called rickets?\\n\\nRickets was fairly common in the USA until milk was enriched with calcium and the importance of vitamin D was discovered.  \\n\\nRickets would cause the bones to soften and ""bow"".  But by the time the Babyboomers were born, American diets were much better and rickets has pretty much become a thing of the past.\\n\\nHere's what Wikipedia has to say:\\n\\n""Rickets is a severe and prolonged vitamin D deficiency that leads to softening and weakening of the bones in children. Vitamin D helps the body absorb calcium and phosphate, which children need to build strong bones. Good sources of dietary vitamin D are vitamin D-fortified formulas and milk.""\\n\\nMy mother who is of the ""Greatest Generation"" has rickets when she was a girl and her jaw bones didn't grow properly and she ended up with a mouthful of very crowded and crooked teeth."
